TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
House for sale,879000,2.0,1238,United States,Richmond County,40.5273247,-74.1983282
House for sale,918888,2.0,2171,United States,Queens County,40.760703,-73.880887
Townhouse for sale,2400000,2.0,1892,United States,Kings County,40.6674938,-73.9832146
House for sale,2500000,2.5,1450,United States,Queens County,40.7679673,-73.8246067
House for sale,998000,4.0,2000,United States,Richmond County,40.515251,-74.235145
House for sale,1649000,2.0,2052,United States,Kings County,40.6164182,-74.0142443
House for sale,955000,4.0,2100,United States,Richmond County,40.551184,-74.1840649
Multi-family home for sale,949000,3.0,2171,United States,Queens County,40.677393,-73.800094
House for sale,880000,2.0,1743,United States,Queens County,40.7668312,-73.7911175
Townhouse for sale,1250000,2.5,2173,United States,New York County,40.7600248,-73.9653546
Contingent,899999,2.0,1784,United States,Richmond County,40.5788586,-74.11209
Condo for sale,198000,1.0,750,New York,Queens,40.7127599,-73.83433
House for sale,549000,3.0,496,United States,Bronx County,40.8679701,-73.836565
House for sale,1088888,4.0,1320,United States,Kings County,40.6090909,-73.9762651
House for sale,888000,2.0,2686,United States,Bronx County,40.8130775,-73.8063357
For sale,65000,1.0,230,New York,New York,40.7120703,-73.9983258
Coming Soon,1695000,2.0,2250,United States,Kings County,40.686947,-73.9261885
Townhouse for sale,1970000,4.0,2508,United States,Kings County,40.6965326,-73.9839654
Co-op for sale,1895000,2.0,2193,New York,Brooklyn,40.673976,-73.973535
House for sale,689000,2.5,1248,United States,Richmond County,40.6137764,-74.1600305
House for sale,649999,2.0,1440,United States,Richmond County,40.5803331,-74.0885167
House for sale,669000,2.0,864,United States,Richmond County,40.5993523,-74.0953882
House for sale,800000,2.0,825,United States,Kings County,40.6222734,-73.924094
Co-op for sale,2375000,2.0,2166,New York,New York,40.7252187,-73.9929764
For sale,2400000,6.0,6688,United States,Kings County,40.6738566,-73.9506085
House for sale,390000,1.0,586,United States,Richmond County,40.574103,-74.0931668
Condo for sale,2250000,1.0,2199,New York,New York,40.737308,-74.0046666
House for sale,1450000,2.5,2700,United States,Richmond County,40.5273093,-74.1753435
Condo for sale,725000,2.0,792,New York,Brooklyn,40.6898164,-73.9062474
Co-op for sale,695000,2.0,2192,New York,New York,40.7651716,-73.9678719
House for sale,1300000,2.0,2163,United States,Bronx County,40.8109146,-73.853921
House for sale,689999,2.0,1008,United States,Richmond County,40.621814,-74.1406264
House for sale,10000000,4.0,6800,United States,New York County,40.764989,-73.9655331
Co-op for sale,695000,2.0,2184,New York,New York,40.7651716,-73.9678719
House for sale,1300000,2.0,2178,United States,Bronx County,40.8109146,-73.853921
Co-op for sale,269000,1.0,2182,New York,The Bronx,40.8968048,-73.9087471
Co-op for sale,425000,2.0,1405,United States,Queens County,40.7381853,-73.8581248
Multi-family home for sale,1499000,6.0,3519,United States,Kings County,40.583514,-73.9738903
House for sale,519000,2.0,1480,United States,Richmond County,40.5939378,-74.1843153
Co-op for sale,358000,1.0,2166,New York,Queens,40.7855174,-73.7797613
Co-op for sale,975000,1.0,2180,New York,New York,40.7455051,-74.0016003
Co-op for sale,498000,1.0,975,New York,Brooklyn,40.6351164,-74.0311609
Contingent,599000,4.0,2800,United States,Richmond County,40.5387352,-74.1423893
House for sale,829888,2.5,1800,10309,New York,40.521278,-74.2230351
Townhouse for sale,699998,2.0,1548,United States,Richmond County,40.5953144,-74.1628286
Co-op for sale,288000,1.0,845,New York,Brooklyn,40.5894827,-73.9395372
Co-op for sale,999995,2.0,1750,New York,New York,40.7640501,-73.964336
Condo for sale,2000000,4.0,3000,New York,New York,40.7573479,-73.9614914
Condo for sale,839000,2.0,1376,United States,Kings County,40.5905451,-73.9910402
Multi-family home for sale,899000,3.0,3683,United States,Bronx County,40.8796143,-73.856153
House for sale,615000,2.0,2183,United States,Kings County,40.6610456,-73.9019953
Condo for sale,800000,2.0,1257,New York,New York,40.7917785,-73.9406204
Condo for sale,430000,2.0,1248,New York,Staten Island,40.6123868,-74.1511288
Contingent,499000,2.0,1288,United States,Richmond County,40.6166867,-74.1576647
Co-op for sale,439500,2.0,1400,New York,Queens,40.7047878,-73.8344551
Co-op for sale,299000,1.0,2183,New York,Queens,40.7123992,-73.8339305
House for sale,2580000,2.5,6493,United States,Richmond County,40.6050685,-74.0969483
Condo for sale,200000,1.0,613,United States,Bronx County,40.840459,-73.8542045
Co-op for sale,425000,1.0,2204,New York,New York,40.8189893,-73.953108
Co-op for sale,69000,1.0,850,New York,The Bronx,40.8366623,-73.9239586
Co-op for sale,230000,1.0,620,New York,New York,40.8028416,-73.9670229
Co-op for sale,220000,1.0,590,New York,Queens,40.7130136,-73.8230375
Co-op for sale,198000,1.0,2176,New York,Queens,40.756144,-73.8213672
Co-op for sale,1495000,2.0,2170,New York,New York,40.7382884,-73.9851838
Co-op for sale,199900,1.0,2181,New York,Queens,40.6779049,-73.733881
House for sale,1150000,2.0,1444,United States,Richmond County,40.5882505,-74.1087291
House for sale,1575000,2.0,2202,United States,Kings County,40.6683947,-73.9762195
Co-op for sale,229000,1.0,2178,New York,Queens,40.7562792,-73.8758052
Condo for sale,320000,2.0,936,New York,The Bronx,40.8236857,-73.8611313
Co-op for sale,295000,1.0,700,New York,Brooklyn,40.6196386,-73.9707307
House for sale,550000,2.0,2178,United States,Kings County,40.6498755,-73.9375091
Condo for sale,285000,1.0,1000,New York,The Bronx,40.8362269,-73.8612346
Multi-family home for sale,1388000,3.0,2183,United States,Queens County,40.774158,-73.7957477
Multi-family home for sale,3000000,10.0,2176,United States,Kings County,40.6949321,-73.9928542
Multi-family home for sale,2198888,6.0,2187,United States,Queens County,40.7032697,-73.9088462
Multi-family home for sale,650000,2.0,2310,United States,Bronx County,40.8244358,-73.8633737
Condo for sale,1100000,2.0,890,New York,New York,40.7598542,-73.9874427
Townhouse for sale,2649000,4.0,4050,United States,Kings County,40.6820924,-73.9393924
Co-op for sale,849000,1.0,800,New York,Brooklyn,40.6662599,-73.9870141
For sale,6500000,2.0,2203,New York,New York,40.778004,-73.962547
Townhouse for sale,2649000,4.0,4050,United States,Kings County,40.6820924,-73.9393924
Multi-family home for sale,2600000,3.0,3978,United States,Kings County,40.6083914,-74.0100209
Multi-family home for sale,979000,3.0,2860,United States,Kings County,40.6597134,-73.9195979
For sale,815000,1.0,2167,New York,New York,40.751918,-73.9698335
Condo for sale,1025000,1.0,800,New York,New York,40.7712538,-73.950858
Condo for sale,1375000,2.0,920,New York,New York,40.7645034,-73.9648503
Condo for sale,875000,2.0,1437,New York,New York,40.8539526,-73.9345678
Multi-family home for sale,1350000,3.0,3000,United States,Kings County,40.5902653,-73.9455056
Multi-family home for sale,815156,4.0,2945,United States,Richmond County,40.6402659,-74.110402
Multi-family home for sale,1949000,5.0,2560,United States,Kings County,40.5813374,-73.9589282
Multi-family home for sale,669000,2.0,1893,United States,Queens County,40.5967151,-73.7696424
Condo for sale,1100000,1.0,726,New York,New York,40.7078844,-74.0140879
Multi-family home for sale,1199000,5.0,2177,United States,Queens County,40.6662035,-73.8525027
Multi-family home for sale,599000,3.0,1176,10303,New York,40.638069,-74.1627747
Multi-family home for sale,1230000,3.0,2188,United States,Queens County,40.700194,-73.8907488
Co-op for sale,3950000,3.0,2187,New York,New York,40.7573949,-73.9606545
House for sale,1599000,3.0,5600,United States,Richmond County,40.5813757,-74.1131912
House for sale,1299900,4.0,2755,United States,Richmond County,40.5065922,-74.2393503
Co-op for sale,370000,1.0,2209,New York,Brooklyn,40.6939582,-73.9943695
For sale,3225,1.0,2192,New York,New York,40.8434062,-73.9407947
Co-op for sale,3649000,2.0,2178,New York,New York,40.7464683,-73.9872992
Multi-family home for sale,860000,3.0,2324,United States,Kings County,40.5768936,-74.0048793
Condo for sale,850000,2.0,1005,New York,New York,40.856444,-73.9377616
Condo for sale,99000,1.0,2203,New York,Brooklyn,40.6372545,-73.9002674
Co-op for sale,535000,1.0,750,New York,Brooklyn,40.6453011,-73.9723049
Multi-family home for sale,849998,2.0,2342,United States,Richmond County,40.5487767,-74.1629254
Multi-family home for sale,998000,3.0,1574,United States,Queens County,40.7190856,-73.9060914
Multi-family home for sale,1500000,2.0,2176,United States,Kings County,40.634316,-73.9462919
Multi-family home for sale,875000,3.0,2860,United States,Bronx County,40.8920958,-73.8487361
Condo for sale,12000000,4.0,3809,United States,New York County,40.7174584,-74.0038831
Co-op for sale,1300000,2.0,2161,New York,New York,40.7895034,-73.9769713
For sale,799000,1.0,585,New York,New York,40.7804721,-73.9871434
Co-op for sale,339000,1.0,250,New York,New York,40.7488879,-73.9723947
Multi-family home for sale,875000,5.0,2680,United States,Bronx County,40.8270095,-73.8766285
Multi-family home for sale,799000,2.0,2296,United States,Bronx County,40.8333931,-73.8727914
House for sale,285000,1.0,1380,United States,Queens County,40.7128326,-73.7435779
Multi-family home for sale,2499000,4.0,1340,United States,Kings County,40.6962962,-73.9720502
Co-op for sale,1799995,2.0,2171,New York,New York,40.7708932,-73.9586258
House for sale,250000,2.5,1224,United States,Queens County,40.6505528,-73.8316736
For sale,5999000,3.0,3000,New York,New York,40.7798567,-73.9873973
Pending,668000,2.0,1606,United States,Queens County,40.7299787,-73.7310756
Condo for sale,2265000,2.0,1123,New York,New York,40.710456,-73.991235
Co-op for sale,459000,1.0,950,New York,Queens,40.7607942,-73.8258766
Multi-family home for sale,1369000,2.5,2900,United States,Richmond County,40.5239722,-74.2213406
House for sale,879000,2.0,2165,United States,Queens County,40.7294367,-73.7125595
Multi-family home for sale,869888,3.0,2167,United States,Queens County,40.7019014,-73.8256776
House for sale,799888,2.0,2186,United States,Queens County,40.7138975,-73.8970229
House for sale,749000,1.0,1040,United States,Richmond County,40.6165347,-74.1507186
House for sale,499000,3.0,2164,United States,Queens County,40.6886004,-73.7568067
House for sale,1295000,4.0,2193,New York,New York,40.7895034,-73.9769713
Pending,879900,2.0,2242,United States,Richmond County,40.5409077,-74.1964937
Multi-family home for sale,699999,2.5,2168,United States,Bronx County,40.8524948,-73.9151397
Condo for sale,289000,1.0,666,New York,Brooklyn,40.6541622,-73.8846778
Condo for sale,699000,1.0,616,New York,Brooklyn,40.6826476,-73.9434923
Land for sale,5800,2.5,2201,New York,Brooklyn,40.618915,-73.931211
Condo for sale,1355000,2.0,1002,New York,Brooklyn,40.6826476,-73.9434923
Condo for sale,1225000,2.0,882,New York,Brooklyn,40.6826476,-73.9434923
Co-op for sale,105000,1.0,656,New York,The Bronx,40.8560699,-73.8688751
House for sale,300000,1.0,952,11234,New York,40.6162917,-73.929914
Multi-family home for sale,799000,3.0,2400,United States,Bronx County,40.8181836,-73.812739
Co-op for sale,202000,1.0,1453,New York,Queens,40.7802813,-73.7818912
Contingent,720000,2.0,1430,United States,Richmond County,40.6149561,-74.0745548
House for sale,600000,2.0,2172,United States,Kings County,40.6422956,-73.972787
Co-op for sale,599000,1.0,1200,New York,Brooklyn,40.6279352,-74.0260154
