TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Multi-family home for sale,1095000,2.0,2186,United States,Queens County,40.757489,-73.9116062
Condo for sale,4295000,2.0,2615,New York,New York,40.7688045,-73.9862514
Multi-family home for sale,720000,2.0,2196,United States,Queens County,40.6899814,-73.8185297
Multi-family home for sale,1900000,2.5,3500,United States,Bronx County,40.8462523,-73.8671523
House for sale,729999,2.0,1056,United States,Queens County,40.6762428,-73.7945184
Co-op for sale,425000,1.0,2186,New York,New York,40.7957436,-73.9699861
House for sale,848000,3.0,1080,United States,Kings County,40.6180243,-73.9971092
Co-op for sale,213000,1.0,430,New York,Brooklyn,40.6339914,-73.9689071
Multi-family home for sale,795000,2.0,1725,United States,Kings County,40.6781645,-73.9185084
Condo for sale,1350000,1.0,2200,United States,Kings County,40.6799762,-73.9787904
Multi-family home for sale,1699000,5.0,2196,United States,Queens County,40.7691484,-73.9073703
House for sale,425000,1.0,2194,United States,Queens County,40.6779035,-73.799284
Pending,1225000,2.0,2189,New York,Queens,40.7535399,-73.8868899
House for sale,699000,2.5,2194,United States,Kings County,40.64539,-73.8897652
Co-op for sale,1150000,1.0,984,New York,Brooklyn,40.6946221,-73.9969945
House for sale,2399000,5.0,2194,United States,Kings County,40.6115517,-73.9061979
Co-op for sale,318888,1.0,875,New York,Queens,40.736926,-73.8577614
Co-op for sale,799000,2.0,1549,New York,Queens,40.7568337,-73.715194
Co-op for sale,489000,1.0,950,New York,Brooklyn,40.620502,-74.0396973
House for sale,1190000,2.0,1088,United States,Kings County,40.5787747,-73.9401956
Townhouse for sale,795000,2.0,2183,United States,Kings County,40.6678086,-73.8739629
Multi-family home for sale,750000,4.0,2178,United States,Kings County,40.6463635,-73.9325263
Townhouse for sale,795000,2.0,2167,United States,Kings County,40.6678086,-73.8739629
Condo for sale,899999,3.0,1750,New York,Queens,40.7654814,-73.8178731
Condo for sale,1325000,2.0,1597,New York,Brooklyn,40.6163434,-74.0377889
Townhouse for sale,595000,2.0,846,New York,Brooklyn,40.6749628,-73.9401841
Condo for sale,330000,1.0,726,New York,Staten Island,40.6299335,-74.0999243
Condo for sale,2998000,3.0,1763,United States,Queens County,40.7465758,-73.9569744
Co-op for sale,345000,1.0,1000,New York,The Bronx,40.8819273,-73.9172822
House for sale,450000,2.5,2174,United States,Queens County,40.681047,-73.754428
Co-op for sale,135000,1.0,750,New York,The Bronx,40.8224272,-73.8900397
Condo for sale,261250,1.0,857,New York,The Bronx,40.8245968,-73.8898403
Multi-family home for sale,3200000,2.5,3735,United States,New York County,40.8093495,-73.9398627
Co-op for sale,600000,2.0,900,New York,New York,40.8535911,-73.9359601
Condo for sale,569000,1.0,739,New York,Brooklyn,40.604365,-73.9757485
Co-op for sale,749000,1.0,2163,New York,New York,40.7241044,-74.0035529
Multi-family home for sale,1138000,3.0,1026,United States,Kings County,40.6240315,-73.9954118
Multi-family home for sale,3720000,8.0,5500,United States,New York County,40.7158959,-73.989796
Multi-family home for sale,974998,2.0,2208,United States,Kings County,40.675444,-73.8823121
Co-op for sale,300000,1.0,600,New York,Brooklyn,40.6372695,-73.9712947
House for sale,729000,3.0,2165,United States,Queens County,40.7052223,-73.7583006
Co-op for sale,750000,2.0,2190,New York,New York,40.7651716,-73.9678719
House for sale,599000,2.0,1120,United States,Richmond County,40.5863749,-74.1470603
House for sale,800000,2.5,2183,United States,Kings County,40.6899365,-73.9294828
Co-op for sale,289000,1.0,2172,New York,Brooklyn,40.646116,-73.98134
Co-op for sale,899999,1.0,2180,New York,New York,40.7308571,-73.9878596
Townhouse for sale,868000,2.0,1152,United States,Queens County,40.7259203,-73.8814296
Condo for sale,3995000,3.0,1637,New York,New York,40.7435613,-74.0063336
House for sale,1500000,2.0,1240,United States,Kings County,40.6045606,-74.0114555
Pending,749000,1.0,2185,New York,New York,40.7345653,-74.0041732
House for sale,520000,2.5,1705,United States,Bronx County,40.8536129,-73.8933593
Multi-family home for sale,749900,2.0,1400,United States,Kings County,40.6754664,-73.8780744
Multi-family home for sale,799000,4.0,2310,United States,Bronx County,40.897885,-73.8562199
Co-op for sale,959000,4.0,1993,New York,Queens,40.7564761,-73.7212008
Condo for sale,1065000,2.0,2182,New York County,Manhattan,40.7850141,-73.9481639
Townhouse for sale,19995000,6.0,8200,United States,New York County,40.7777833,-73.962008
Condo for sale,744000,1.0,890,New York,Queens,40.7592629,-73.9257407
Pending,675000,0.0,2780,New York,New York,40.7143933,-74.0088774
Condo for sale,4595000,4.0,3052,New York,New York,40.7241883,-73.9804574
Co-op for sale,475000,1.0,2168,New York,Brooklyn,40.671881,-73.961562
Pending,675000,0.0,2780,New York,New York,40.7143933,-74.0088774
Pending,4500000,2.5,5400,United States,Kings County,40.7248276,-73.9446616
Co-op for sale,32000000,6.0,7500,United States,New York County,40.7237571,-74.0021582
Multi-family home for sale,3250000,4.0,3059,United States,Kings County,40.6877385,-73.9618932
Multi-family home for sale,769000,2.0,2100,United States,Richmond County,40.6219621,-74.0832854
House for sale,648998,2.0,1296,United States,Bronx County,40.8611669,-73.8467192
House for sale,1699900,5.0,2418,United States,Kings County,40.6898884,-73.9085265
Co-op for sale,395250,1.0,650,New York,Queens,40.7642499,-73.92761
House for sale,539000,2.0,972,United States,Richmond County,40.6104417,-74.0628522
Townhouse for sale,1348000,2.0,2195,United States,Queens County,40.7462947,-73.8595834
Condo for sale,1450000,3.0,1855,New York,Queens,40.7573108,-73.8341865
Co-op for sale,465000,1.0,2164,United States,Queens County,40.7483992,-73.8795703
Condo for sale,6500000,2.0,1639,New York,New York,40.7601885,-73.9843625
Co-op for sale,297000,1.0,800,New York,Queens,40.7322799,-73.85181
House for sale,2480000,4.0,5150,United States,Queens County,40.7932103,-73.8161976
Co-op for sale,230000,1.0,2166,New York,Queens,40.736005,-73.849174
Condo for sale,780000,2.0,825,United States,Kings County,40.6288601,-73.9704912
Townhouse for sale,4875000,3.0,2161,United States,New York County,40.748964,-73.978301
Co-op for sale,750000,2.0,1193,New York,The Bronx,40.8825618,-73.9212739
Condo for sale,628000,2.0,900,New York,Queens,40.7376925,-73.8803546
House for sale,687000,1.0,2186,United States,Bronx County,40.8214203,-73.8062717
Multi-family home for sale,825000,3.0,2161,United States,Bronx County,40.8296973,-73.8768124
Co-op for sale,240000,1.0,2169,New York,Queens,40.6987743,-73.8529203
Condo for sale,285000,1.0,835,New York,The Bronx,40.8396194,-73.8587548
Contingent,799900,4.0,1816,United States,Richmond County,40.5570416,-74.1462231
Co-op for sale,130000,1.0,2204,New York,The Bronx,40.8653458,-73.9073691
Co-op for sale,185000,1.0,850,United States,Bronx County,40.8789917,-73.9020914
Multi-family home for sale,2798000,3.0,3400,United States,Kings County,40.657854,-73.975525
House for sale,988000,1.0,1296,United States,Queens County,40.7540089,-73.8189203
Co-op for sale,800000,1.0,2194,New York,New York,40.7486602,-73.9720523
Co-op for sale,400000,1.0,2207,New York,Queens,40.7536299,-73.88596
Multi-family home for sale,965000,3.0,3520,United States,Bronx County,40.8247021,-73.8766066
Multi-family home for sale,10000000,8.0,2169,United States,New York County,40.734814,-73.996305
Co-op for sale,279000,1.0,2202,United States,Queens County,40.7408626,-73.7553116
Townhouse for sale,15995000,2.5,2173,United States,New York County,40.7311289,-74.0048678
Multi-family home for sale,1850000,4.0,2168,United States,Kings County,40.6140608,-73.9853215
Multi-family home for sale,1800000,7.0,2201,United States,Queens County,40.7723063,-73.9110206
Pending,1395000,2.0,1028,New York,Brooklyn,40.670563,-73.981488
Co-op for sale,360000,1.0,2209,New York,New York,40.8165004,-73.9411037
Co-op for sale,1050000,1.0,2179,New York County,Manhattan,40.7316673,-73.996478
Condo for sale,2200000,2.0,1308,New York,New York,40.7740269,-73.9632939
House for sale,650000,2.5,1218,United States,Richmond County,40.6306934,-74.0794192
Townhouse for sale,7850000,4.0,6060,United States,New York County,40.7366749,-73.9860561
Multi-family home for sale,4999000,5.0,4120,United States,New York County,40.764924,-73.9907911
Pending,299000,1.0,2167,New York,New York,40.76907,-73.987788
House for sale,1578000,3.0,2152,United States,Queens County,40.7346802,-73.7905086
House for sale,715000,2.0,2181,United States,Queens County,40.701497,-73.7613803
House for sale,850000,2.0,1090,United States,Richmond County,40.5952951,-74.1039687
Condo for sale,1949000,2.0,1288,New York,New York,40.7234874,-73.976864
Contingent,799900,4.0,3510,United States,Richmond County,40.641795,-74.090599
Pending,1599000,4.0,3690,United States,Queens County,40.7552678,-73.8822127
Contingent,695000,1.0,650,New York,New York,40.727533,-73.99017
Condo for sale,1999999,3.0,1800,New York,Brooklyn,40.5770098,-73.958346
House for sale,899888,2.0,2185,United States,Richmond County,40.6215947,-74.1404429
Co-op for sale,379000,1.0,900,New York,Queens,40.7194655,-73.8183058
Multi-family home for sale,879000,2.0,1824,United States,Richmond County,40.5452993,-74.1492507
Co-op for sale,1030000,2.0,1077,New York,New York,40.7849374,-73.9480901
Co-op for sale,699999,2.0,2176,New York,New York,40.7826608,-73.9723737
Condo for sale,1750000,1.0,937,New York,New York,40.7330327,-73.9891825
Co-op for sale,995000,1.0,2181,New York,Brooklyn,40.7201147,-73.9581256
House for sale,599999,4.0,2191,United States,Queens County,40.6836616,-73.7970345
Co-op for sale,300000,1.0,2198,New York,New York,40.8050658,-73.9524985
Co-op for sale,389000,1.0,900,New York,Queens,40.7427717,-73.8796707
Multi-family home for sale,850000,2.0,2194,United States,Bronx County,40.8467388,-73.8189548
Townhouse for sale,3595000,4.0,4675,United States,New York County,40.828721,-73.947403
House for sale,799000,3.0,2200,United States,Queens County,40.7039425,-73.7459355
House for sale,1880000,5.0,1920,United States,Queens County,40.7492709,-73.8119666
Co-op for sale,269000,1.0,625,New York,Brooklyn,40.632218,-74.0321902
House for sale,799000,3.0,2176,United States,Queens County,40.7039425,-73.7459355
House for sale,4500000,4.0,2173,United States,Queens County,40.7880839,-73.8180817
House for sale,589000,2.0,1120,United States,Kings County,40.6697595,-73.8692311
Co-op for sale,239000,1.0,700,New York,Brooklyn,40.6073781,-73.9601827
Condo for sale,1000000,1.0,773,New York,New York,40.7574596,-73.9793586
Pending,2800000,4.0,3400,United States,Kings County,40.6435168,-73.9669556
Co-op for sale,130000,1.0,2177,New York,Queens,40.7104509,-73.7982064
House for sale,798000,2.0,760,United States,Queens County,40.7392555,-73.8523054
Co-op for sale,495000,1.0,2192,New York,New York,40.7238926,-73.9893733
Condo for sale,555000,1.0,649,New York,Queens,40.7206509,-73.808539
Co-op for sale,1274000,2.0,2185,New York,New York,40.7482245,-73.9795398
Co-op for sale,349000,1.0,2174,New York,Queens,40.7052273,-73.8336358
Pending,1250000,1.0,2203,New York,New York,40.7340094,-73.9963862
Co-op for sale,749900,1.0,830,New York,New York,40.798921,-73.961553
House for sale,1399900,4.0,3149,United States,Richmond County,40.5900537,-74.0906619
Condo for sale,948888,2.0,950,New York,Brooklyn,40.6163216,-74.0374941
Pending,775000,2.0,1230,United States,Queens County,40.7258337,-73.7268795
House for sale,475000,2.0,1280,United States,Bronx County,40.9034885,-73.8435964
Condo for sale,750000,1.0,654,New York,Brooklyn,40.708157,-73.944452
Condo for sale,713000,2.0,1040,United States,Kings County,40.5855131,-73.9883977
Co-op for sale,300000,1.0,2209,New York,Queens,40.7464499,-73.89982
Co-op for sale,2695000,3.0,2184,New York,New York,40.7843128,-73.9814804
Co-op for sale,450000,2.0,2192,New York,Queens,40.7475547,-73.718359
Co-op for sale,699000,1.0,2190,New York,New York,40.7959993,-73.9723278
Townhouse for sale,10950000,8.0,9555,United States,New York County,40.7826176,-73.9820502
Condo for sale,5925000,4.0,2539,New York,Brooklyn,40.7022,-73.990838
Co-op for sale,225000,1.0,2207,United States,Queens County,40.7577974,-73.7159601
Condo for sale,5925000,4.0,2539,New York,Brooklyn,40.7022,-73.990838
Co-op for sale,255000,1.0,2208,United States,Queens County,40.755562,-73.7316684
Multi-family home for sale,2500000,2.5,4140,United States,Kings County,40.6210191,-73.9921739
House for sale,2095000,4.0,3223,United States,Queens County,40.7200361,-73.8007029
Co-op for sale,750000,1.0,2167,New York,Brooklyn,40.6880273,-73.9950123
Townhouse for sale,2999000,8.0,5560,United States,New York County,40.8052328,-73.9407352
Multi-family home for sale,1250000,3.0,1800,United States,Kings County,40.58761,-73.9698943
Co-op for sale,2425000,2.0,1300,New York,New York,40.731874,-73.9921379
Pending,205000,1.0,660,New York,Queens,40.7376662,-73.8566546
Co-op for sale,3499000,8.0,6000,United States,New York County,40.7698703,-73.9611404
Co-op for sale,649000,2.0,1000,United States,New York County,40.7556274,-73.9614685
Pending,729000,1.0,2177,New York,New York,40.7293904,-74.0013331
Multi-family home for sale,998500,2.0,2172,United States,Kings County,40.6476837,-73.9519338
Multi-family home for sale,765000,2.0,1152,United States,Bronx County,40.8847302,-73.8563591
Condo for sale,599000,2.0,705,New York,Queens,40.7494499,-73.8778676
Co-op for sale,595000,2.0,2175,New York,New York,40.761641,-73.9702246
Co-op for sale,675000,1.0,2176,New York,New York,40.7957847,-73.9498024
Multi-family home for sale,949000,3.0,3500,United States,Richmond County,40.6445278,-74.0913961
Contingent,895000,1.0,520,New York,New York,40.7868879,-73.9805511
Co-op for sale,399999,1.0,2185,New York,Queens,40.7047878,-73.8344551
Co-op for sale,397000,1.0,1000,New York,Queens,40.7381747,-73.8785246
Townhouse for sale,950000,1.0,1800,United States,Kings County,40.6594527,-73.9975913
Condo for sale,3995000,3.0,2578,New York,New York,40.7655712,-73.979561
Co-op for sale,599000,1.0,780,Kings County,Fort Hamilton,40.6230753,-74.0403471
Condo for sale,1999999,3.0,2729,New York,New York,40.7069134,-74.0085778
Co-op for sale,3370000,2.0,2185,New York,New York,40.7321377,-73.9947952
Townhouse for sale,6995000,5.0,4187,United States,Kings County,40.6894191,-73.9977098
House for sale,1598000,4.0,2197,United States,Queens County,40.7392152,-73.8301205
Co-op for sale,265000,1.0,650,New York,Brooklyn,40.5757325,-73.9679335
House for sale,1699000,3.0,2488,United States,Kings County,40.5786214,-73.9515728
Contingent,960000,1.0,834,New York,Brooklyn,40.7032891,-73.9891782
Condo for sale,1086300,1.0,780,New York,New York,40.7847793,-73.9778528
Condo for sale,549000,2.0,2171,New York,The Bronx,40.848222,-73.9043179
Multi-family home for sale,969999,4.0,2175,United States,Bronx County,40.887362,-73.8321425
House for sale,1649000,3.0,2189,United States,Kings County,40.658346,-73.9583816
Condo for sale,2800000,2.0,1412,New York County,Manhattan,40.7652485,-73.9824857
Co-op for sale,449000,1.0,2168,New York,New York,40.7810674,-73.954925
Co-op for sale,294500,1.0,2186,New York,Queens,40.7505078,-73.8851355
Multi-family home for sale,990000,4.0,3120,United States,Bronx County,40.8182411,-73.8863072
Co-op for sale,449000,1.0,2172,New York,New York,40.7810674,-73.954925
Multi-family home for sale,1598000,2.5,2163,United States,Queens County,40.7375872,-73.7989142
Co-op for sale,208000,1.0,2181,New York,Queens,40.7170693,-73.8332429
Co-op for sale,169900,1.0,900,New York,The Bronx,40.8363523,-73.865036
Co-op for sale,235000,1.0,2171,New York,Queens,40.7267837,-73.8587799
Co-op for sale,278000,1.0,2181,New York,The Bronx,40.7119297,-73.826361
Townhouse for sale,998000,2.5,2236,United States,Kings County,40.6623484,-73.8914648
Co-op for sale,6400000,4.0,2174,New York,New York,40.7737635,-73.9644574
Co-op for sale,385000,1.0,920,New York,Queens,40.7325379,-73.8601516
Multi-family home for sale,1849000,3.0,2192,United States,Queens County,40.7688965,-73.7752498
House for sale,449500,2.0,2189,United States,Bronx County,40.8112605,-73.855529
House for sale,1099000,3.0,2322,United States,Kings County,40.6438485,-73.9016506
House for sale,1900000,2.0,1400,United States,Queens County,40.7230171,-73.8231693
House for sale,1288000,3.0,1696,United States,Queens County,40.788704,-73.84908
Co-op for sale,1150000,1.0,2175,New York,New York,40.7717316,-73.9797209
Townhouse for sale,4195000,4.0,2195,United States,Kings County,40.6847934,-73.965911
Pending,675000,2.0,1444,United States,Richmond County,40.5712145,-74.1132944
Condo for sale,875000,1.0,922,United States,Kings County,40.6965975,-73.9071739
Co-op for sale,297000,1.0,2167,United States,Kings County,40.6013587,-74.0073583
Condo for sale,485000,1.0,575,New York,Queens,40.7245332,-73.8696876
Pending,625000,2.0,1040,United States,Richmond County,40.557402,-74.148792
Townhouse for sale,7550000,5.0,2161,United States,New York County,40.7348673,-74.0023636
Pending,499000,2.0,1358,New York,Brooklyn,40.6248278,-73.909396
Condo for sale,399000,2.5,2191,United States,Queens County,40.7668236,-73.9239725
Co-op for sale,299000,1.0,2185,New York,Queens,40.7607762,-73.8197115
Multi-family home for sale,2200000,6.0,2189,United States,Queens County,40.7101745,-73.8995452
Condo for sale,465000,2.0,708,New York,Queens,40.7511218,-73.8614488
Co-op for sale,278000,1.0,750,New York,Queens,40.7306353,-73.8276823
Pending,709000,3.0,2183,United States,Kings County,40.6330746,-73.9014669
Condo for sale,685000,2.0,2169,New York,Queens,40.7332174,-73.8448704
Multi-family home for sale,779000,2.0,1540,United States,Kings County,40.5949347,-73.9347766
Condo for sale,1899000,2.0,1900,New York,Brooklyn,40.5763957,-73.9575654
House for sale,599900,2.0,1204,United States,Richmond County,40.5466066,-74.1406837
Townhouse for sale,22500000,2.5,4000,United States,New York County,40.7368312,-74.0024003
House for sale,739000,2.0,1473,United States,Kings County,40.6241803,-73.9375665
Condo for sale,7995000,4.0,2191,New York,New York,40.7745073,-73.981428
Co-op for sale,1425000,2.0,2200,New York,New York,40.7261696,-74.0013901
Condo for sale,950000,1.0,560,United States,New York County,40.7564316,-73.9660912
Pending,399000,1.0,2185,United States,Queens County,40.7231998,-73.8267722
Co-op for sale,1460000,2.0,2177,New York,New York,40.7812136,-73.9570373
Co-op for sale,269000,1.0,2160,New York,Queens,40.7592939,-73.8203855
Co-op for sale,155000,1.0,2192,New York,Brooklyn,40.6299057,-73.9265933
Co-op for sale,449000,1.0,764,New York,Queens,40.7526861,-73.7166669
Pending,825000,2.0,930,New York,Queens,40.7515161,-73.9389442
House for sale,1499000,2.5,2088,United States,Kings County,40.6151781,-73.9901308
Co-op for sale,300000,1.0,800,New York,Brooklyn,40.5860215,-73.9668364
Condo for sale,1100000,2.0,2166,New York,New York,40.7630485,-73.9776229
Condo for sale,425000,1.0,603,New York,Brooklyn,40.6360061,-73.971649
Co-op for sale,280000,1.0,2185,United States,New York County,40.7486808,-73.9705383
House for sale,1149000,2.0,1660,United States,Kings County,40.6093215,-73.9448683
Co-op for sale,410000,2.0,2171,New York,Queens,40.7203199,-73.84052
Co-op for sale,268000,1.0,660,New York,Queens,40.7739672,-73.8277862
Co-op for sale,4650000,3.0,2176,United States,New York County,40.7661258,-73.9779145
House for sale,24500000,8.0,8400,United States,New York County,40.7675628,-73.967656
Condo for sale,660000,2.0,970,New York,Queens,40.7376925,-73.8803546
Condo for sale,1175000,2.0,1072,New York,New York,40.7081041,-74.0074731
Pending,5250000,4.0,2186,United States,Kings County,40.7140169,-73.9587962
House for sale,1078000,2.0,1260,United States,Queens County,40.7421583,-73.8191116
Co-op for sale,349000,1.0,652,New York,Brooklyn,40.6259955,-74.0323073
Multi-family home for sale,1590000,4.0,1739,11214,New York,40.5859774,-73.9869629
Co-op for sale,4650000,3.0,2206,United States,New York County,40.7661258,-73.9779145
Condo for sale,425000,1.0,603,New York,Brooklyn,40.6360061,-73.971649
Contingent,375000,1.0,900,New York,Staten Island,40.638118,-74.073964
Multi-family home for sale,6999000,3.0,2189,United States,Kings County,40.697795,-73.995861
House for sale,750000,2.0,1868,United States,Kings County,40.6359284,-73.9409763
House for sale,12500000,6.0,7500,United States,New York County,40.7273703,-73.9870777
House for sale,699900,2.0,1420,United States,Richmond County,40.5986989,-74.1318297
Co-op for sale,519000,2.0,1079,New York,Queens,40.7203199,-73.84052
Pending,1200000,2.5,3280,United States,Kings County,40.688515,-73.916949
Co-op for sale,279000,1.0,2181,United States,Queens County,40.7379227,-73.8470718
Multi-family home for sale,1325000,4.0,2194,United States,Queens County,40.7635384,-73.8628798
House for sale,635000,2.0,1684,United States,Richmond County,40.5307866,-74.2217959
Contingent,499000,2.0,1450,United States,Richmond County,40.629123,-74.0811056
Co-op for sale,550000,2.0,1012,New York,New York,40.7986288,-73.9351095
Co-op for sale,518000,2.0,2166,New York,Queens,40.7568027,-73.8736566
Townhouse for sale,26000000,6.0,10940,United States,New York County,40.7688699,-73.9678746
Condo for sale,1250000,2.0,1057,United States,Kings County,40.6655513,-73.9922171
Townhouse for sale,8750000,4.0,4275,United States,New York County,40.7829849,-73.9535589
Co-op for sale,469000,1.0,2186,New York,Queens,40.7623991,-73.9321744
Multi-family home for sale,1960000,7.0,2169,United States,Queens County,40.7286837,-73.8065818
Pending,799000,2.0,1560,United States,Richmond County,40.5642806,-74.1530498
Multi-family home for sale,949000,3.0,2206,United States,Kings County,40.6290233,-73.9330774
Multi-family home for sale,799000,2.0,1716,United States,Kings County,40.5778456,-73.9670934
House for sale,699000,3.0,1280,United States,Kings County,40.5877725,-73.9253044
House for sale,900000,2.0,1248,United States,Richmond County,40.5981713,-74.0732699
Co-op for sale,595000,1.0,2175,New York,New York,40.7955171,-73.9745834
Condo for sale,269000,1.0,485,New York,Brooklyn,40.590145,-73.9499887
Townhouse for sale,548000,2.0,1354,United States,Richmond County,40.5646084,-74.184535
Townhouse for sale,4200000,4.0,4480,United States,New York County,40.788437,-73.9731887
Multi-family home for sale,450000,2.0,2203,United States,Queens County,40.7065602,-73.7835572
House for sale,649999,1.0,2169,United States,Queens County,40.6936825,-73.7495584
Condo for sale,539000,1.0,708,New York,Brooklyn,40.633546,-74.0266446
Pending,550000,2.0,1292,United States,Richmond County,40.5482041,-74.2109853
House for sale,1525000,2.0,1650,United States,Kings County,40.6242186,-74.0088847
Multi-family home for sale,2100000,2.0,2720,United States,Kings County,40.6366874,-73.9984062
House for sale,625000,2.0,1944,United States,Bronx County,40.8216537,-73.8465699
House for sale,728888,3.0,1379,United States,Queens County,40.6767141,-73.7492797
Co-op for sale,739000,1.0,2193,New York,New York,40.7741621,-73.9467221
Multi-family home for sale,1290000,2.0,2190,United States,Queens County,40.7554032,-73.7924388
Multi-family home for sale,675000,2.0,1750,United States,Bronx County,40.8266591,-73.824848
Contingent,950000,2.0,1364,United States,Richmond County,40.5781512,-74.1348919
House for sale,550000,2.0,1221,United States,Queens County,40.653784,-73.8286059
Multi-family home for sale,906300,4.0,3116,United States,Kings County,40.668499,-73.8810259
Co-op for sale,5900000,4.0,3000,New York,New York,40.7472085,-74.0013378
Condo for sale,2700000,3.0,1689,New York,New York,40.7715251,-73.9895943
House for sale,659000,2.0,2174,United States,Queens County,40.6695117,-73.7942558
Co-op for sale,189990,1.0,2205,New York,Queens,40.6668092,-73.8471901
Multi-family home for sale,2150000,2.0,2187,United States,Queens County,40.7438369,-73.9505652
Co-op for sale,2100000,3.0,1968,New York,New York,40.7989206,-73.9723967
House for sale,499000,2.0,1236,United States,Bronx County,40.879318,-73.8613522
Pending,749000,3.0,1368,United States,Queens County,40.7088867,-73.7844919
Townhouse for sale,1399000,2.0,1700,United States,Kings County,40.6745279,-73.9243055
Condo for sale,639000,2.0,800,New York,Queens,40.7603904,-73.8194905
Multi-family home for sale,1995000,3.0,3600,United States,Kings County,40.6950726,-73.9113766
Co-op for sale,3495000,3.0,2179,New York,New York,40.7687653,-73.9638365
Pending,325000,1.0,2186,New York,Staten Island,40.6449121,-74.0787385
Co-op for sale,500000,2.0,2195,New York,Brooklyn,40.6927721,-73.9936086
Condo for sale,349000,1.0,500,New York,Queens,40.778411,-73.781048
Townhouse for sale,24950000,5.0,12000,United States,New York County,40.7700688,-73.9679334
House for sale,709999,2.0,2190,United States,Queens County,40.6811881,-73.793438
House for sale,774900,2.0,1335,United States,Richmond County,40.6058796,-74.0681791
Co-op for sale,275000,1.0,2165,New York,Queens,40.7334099,-73.85851
Co-op for sale,439000,1.0,2182,New York,New York,40.7770851,-73.9541834
Co-op for sale,425000,1.0,2204,New York,New York,40.7330596,-73.9959886
Multi-family home for sale,599999,2.0,2200,United States,Kings County,40.6647996,-73.868117
House for sale,680000,2.0,1296,United States,Kings County,40.6381159,-73.9218484
Multi-family home for sale,2300000,6.0,2170,United States,Queens County,40.6818734,-73.7962038
Condo for sale,560000,2.0,1008,New York,Staten Island,40.638148,-74.0756332
Multi-family home for sale,1600000,3.0,3000,United States,New York County,40.8062235,-73.9392312
Condo for sale,699900,1.0,558,New York,New York,40.7502793,-73.9795235
Condo for sale,1650000,2.0,1493,New York,New York,40.7612516,-73.9826113
Condo for sale,1249000,2.0,2158,New York,Brooklyn,40.648091,-73.98013
Co-op for sale,438000,1.0,2169,New York,New York,40.7228235,-73.98509
Co-op for sale,449000,1.0,2209,New York,Queens,40.7282347,-73.8522092
Co-op for sale,699000,1.0,2165,New York,New York,40.729738,-73.9861097
Land for sale,1400000,2.5,2163,United States,Bronx County,40.8065368,-73.9202661
House for sale,709999,2.0,2171,United States,Queens County,40.6811881,-73.793438
Multi-family home for sale,1139000,3.0,2520,United States,Kings County,40.5994335,-73.9458671
Co-op for sale,438000,1.0,2178,New York,New York,40.7228235,-73.98509
Co-op for sale,600000,2.0,1000,New York,New York,40.8052883,-73.9478167
House for sale,686000,2.0,2172,United States,Queens County,40.6808451,-73.7952952
Pending,2500000,4.0,4400,United States,Kings County,40.6832052,-73.9491758
Pending,1848888,4.0,3234,United States,Queens County,40.7160582,-73.7872685
Multi-family home for sale,1479000,2.5,4200,United States,Kings County,40.6244327,-73.913742
Pending,559900,2.0,1886,United States,Kings County,40.6211924,-73.905796
House for sale,599000,2.0,1196,United States,Richmond County,40.6175888,-74.0775836
Multi-family home for sale,2480000,6.0,2740,United States,Queens County,40.7411879,-73.8094885
Multi-family home for sale,5995000,6.0,6500,United States,Kings County,40.691847,-73.9732656
Condo for sale,4750000,2.0,2060,New York,New York,40.7649484,-73.9694663
Multi-family home for sale,778000,3.0,1300,United States,Richmond County,40.5358271,-74.2226504
Multi-family home for sale,1125000,3.0,3354,United States,Bronx County,40.8296324,-73.9159236
Townhouse for sale,1775000,4.0,2078,United States,Kings County,40.6473249,-73.9484704
Condo for sale,888000,2.0,1146,New York,Brooklyn,40.6275896,-74.0016198
Condo for sale,375000,1.0,2203,United States,Kings County,40.6834585,-73.9504707
House for sale,15000000,2.0,2169,United States,Queens County,40.70971,-73.790302
Multi-family home for sale,1250000,4.0,2700,United States,Richmond County,40.5041935,-74.252823
Co-op for sale,349000,1.0,800,United States,Queens County,40.6662726,-73.8457131
Co-op for sale,259000,1.0,2171,New York,Brooklyn,40.6482666,-73.9442024
Co-op for sale,575000,1.0,850,New York,New York,40.7630774,-73.9685002
Co-op for sale,500000,1.0,2186,New York,New York,40.8178093,-73.9391738
Co-op for sale,399999,1.0,2183,New York,Brooklyn,40.7112984,-73.9463142
Condo for sale,10800000,6.0,4544,New York,Brooklyn,40.692916,-74.0008815
Co-op for sale,239000,1.0,750,New York,The Bronx,40.8836826,-73.9144424
Multi-family home for sale,6950000,6.0,32000,United States,Bronx County,40.8694599,-73.882195
Condo for sale,599999,1.0,932,New York,Brooklyn,40.6822675,-73.9178308
Condo for sale,699000,2.0,1290,New York,Queens,40.7402182,-73.8844499
House for sale,649000,2.0,1188,United States,Kings County,40.610384,-73.910535
Co-op for sale,224000,1.0,2184,New York,Queens,40.7276199,-73.84686
Condo for sale,590000,1.0,579,New York,New York,40.7942099,-73.9636725
Co-op for sale,1050000,2.0,2186,New York,New York,40.7640501,-73.964336
Multi-family home for sale,2288000,4.0,3280,United States,Kings County,40.6164146,-73.9938038
Condo for sale,838000,2.0,706,New York,New York,40.7118928,-73.9940945
